idna_subject,checker_type,destination,tested_at
208.73.214.9,AVAILABILITY,domains.list,2021-08-26 04:06:58.642841
208.77.165.232,AVAILABILITY,domains.list,2021-08-26 04:07:19.090187
208.78.169.231,AVAILABILITY,domains.list,2021-08-26 04:07:41.254205
208.78.242.184,AVAILABILITY,domains.list,2021-08-26 04:08:01.717627
208.78.93.118,AVAILABILITY,domains.list,2021-08-26 04:08:22.253347
208.78.93.67,AVAILABILITY,domains.list,2021-08-26 04:08:42.662249
208.78.93.68,AVAILABILITY,domains.list,2021-08-26 04:09:03.028678
208.78.94.100,AVAILABILITY,domains.list,2021-08-26 04:19:24.913230
208.79.78.230,AVAILABILITY,domains.list,2021-08-26 04:19:45.755220
208.80.56.11,AVAILABILITY,domains.list,2021-08-26 04:20:06.282226
208.81.201.12,AVAILABILITY,domains.list,2021-08-26 04:20:26.923217
208.81.201.14,AVAILABILITY,domains.list,2021-08-26 04:20:47.359483
208.81.233.74,AVAILABILITY,domains.list,2021-08-26 04:21:07.746505
208.81.233.75,AVAILABILITY,domains.list,2021-08-26 04:21:28.039748
208.81.233.77,AVAILABILITY,domains.list,2021-08-26 04:21:48.349590
208.81.234.108,AVAILABILITY,domains.list,2021-08-26 04:22:08.767575
208.81.234.117,AVAILABILITY,domains.list,2021-08-26 04:22:29.078521
208.81.234.123,AVAILABILITY,domains.list,2021-08-26 04:22:49.533932
208.81.234.17,AVAILABILITY,domains.list,2021-08-26 04:23:09.851544
208.81.234.21,AVAILABILITY,domains.list,2021-08-26 04:23:30.326351
208.81.234.97,AVAILABILITY,domains.list,2021-08-26 04:23:50.651265
208.83.241.15,AVAILABILITY,domains.list,2021-08-26 04:24:11.076775
208.83.243.15,AVAILABILITY,domains.list,2021-08-26 04:24:31.452830
208.83.243.215,AVAILABILITY,domains.list,2021-08-26 04:24:51.780501
208.83.243.71,AVAILABILITY,domains.list,2021-08-26 04:25:17.398254
208.87.33.150,AVAILABILITY,domains.list,2021-08-26 04:25:37.867974
208.87.33.151,AVAILABILITY,domains.list,2021-08-26 04:25:58.549041
