idna_subject,checker_type,destination,source,tested_at,session_id
107.1.218.112,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:22.720719,dc8560926b1726ecc6c152c0
107.20.140.119,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:23.038047,dc8560926b1726ecc6c152c0
107.20.144.200,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:23.322443,dc8560926b1726ecc6c152c0
107.20.150.214,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:23.612939,dc8560926b1726ecc6c152c0
107.20.165.101,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:23.923437,dc8560926b1726ecc6c152c0
107.20.170.67,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:24.267120,dc8560926b1726ecc6c152c0
107.20.172.247,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:24.727262,dc8560926b1726ecc6c152c0
107.20.182.114,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:25.043826,dc8560926b1726ecc6c152c0
107.20.187.182,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:25.294661,dc8560926b1726ecc6c152c0
107.20.192.122,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:25.571390,dc8560926b1726ecc6c152c0
107.20.206.69,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:25.813884,dc8560926b1726ecc6c152c0
107.20.210.46,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:26.023939,dc8560926b1726ecc6c152c0
107.20.223.131,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:26.207945,dc8560926b1726ecc6c152c0
107.20.229.0,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:26.440626,dc8560926b1726ecc6c152c0
107.20.248.225,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:26.675825,dc8560926b1726ecc6c152c0
107.20.250.140,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:26.944595,dc8560926b1726ecc6c152c0
107.20.253.26,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:27.146606,dc8560926b1726ecc6c152c0
107.21.100.192,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:27.340595,dc8560926b1726ecc6c152c0
107.21.108.211,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:27.689704,dc8560926b1726ecc6c152c0
107.21.110.141,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:27.939068,dc8560926b1726ecc6c152c0
107.21.120.42,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:28.147488,dc8560926b1726ecc6c152c0
107.21.236.39,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:28.339901,dc8560926b1726ecc6c152c0
107.21.247.135,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:28.578200,dc8560926b1726ecc6c152c0
107.21.247.218,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:28.805698,dc8560926b1726ecc6c152c0
107.21.249.192,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:29.046790,dc8560926b1726ecc6c152c0
107.21.249.25,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:29.300997,dc8560926b1726ecc6c152c0
107.21.249.38,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:29.566393,dc8560926b1726ecc6c152c0
107.21.251.222,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:29.763631,dc8560926b1726ecc6c152c0
107.21.92.233,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:29.954380,dc8560926b1726ecc6c152c0
107.21.95.174,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:30.209623,dc8560926b1726ecc6c152c0
107.21.95.48,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:30.450664,dc8560926b1726ecc6c152c0
107.22.161.177,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:30.687374,dc8560926b1726ecc6c152c0
107.22.161.53,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:30.945966,dc8560926b1726ecc6c152c0
107.22.174.69,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:31.175136,dc8560926b1726ecc6c152c0
107.22.182.17,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:31.396617,dc8560926b1726ecc6c152c0
107.22.193.46,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:31.584819,dc8560926b1726ecc6c152c0
107.22.20.174,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:31.823205,dc8560926b1726ecc6c152c0
107.22.211.212,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:32.011102,dc8560926b1726ecc6c152c0
107.22.213.178,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:32.200328,dc8560926b1726ecc6c152c0
107.22.218.51,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:32.434792,dc8560926b1726ecc6c152c0
107.22.231.138,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:32.628449,dc8560926b1726ecc6c152c0
107.22.240.237,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:32.856970,dc8560926b1726ecc6c152c0
107.22.246.83,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:33.053492,dc8560926b1726ecc6c152c0
107.22.250.156,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:33.250517,dc8560926b1726ecc6c152c0
107.22.251.105,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:33.501081,dc8560926b1726ecc6c152c0
107.22.252.153,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:33.757673,dc8560926b1726ecc6c152c0
107.22.253.9,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:33.953537,dc8560926b1726ecc6c152c0
107.23.168.79,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:34.160460,dc8560926b1726ecc6c152c0
107.23.18.192,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:34.396272,dc8560926b1726ecc6c152c0
108.162.193.94,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:34.585458,dc8560926b1726ecc6c152c0
108.162.194.161,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:34.790796,dc8560926b1726ecc6c152c0
108.162.194.164,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:35.000549,dc8560926b1726ecc6c152c0
108.162.194.167,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:35.191518,dc8560926b1726ecc6c152c0
108.162.194.177,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:35.379275,dc8560926b1726ecc6c152c0
108.162.194.45,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:35.573767,dc8560926b1726ecc6c152c0
108.162.194.64,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:35.788083,dc8560926b1726ecc6c152c0
108.162.195.161,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:36.016936,dc8560926b1726ecc6c152c0
108.162.195.167,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:36.309866,dc8560926b1726ecc6c152c0
108.162.195.177,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:36.519091,dc8560926b1726ecc6c152c0
108.162.195.197,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:36.711106,dc8560926b1726ecc6c152c0
108.162.195.45,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:36.908159,dc8560926b1726ecc6c152c0
108.166.121.41,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:37.119281,dc8560926b1726ecc6c152c0
108.168.132.186,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:37.367842,dc8560926b1726ecc6c152c0
108.168.160.69,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:37.586581,dc8560926b1726ecc6c152c0
108.168.170.82,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:37.808786,dc8560926b1726ecc6c152c0
108.168.218.164,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:38.030631,dc8560926b1726ecc6c152c0
108.168.218.168,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:38.242931,dc8560926b1726ecc6c152c0
108.168.218.175,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:38.456953,dc8560926b1726ecc6c152c0
108.168.218.176,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:38.779940,dc8560926b1726ecc6c152c0
108.168.218.180,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:38.985496,dc8560926b1726ecc6c152c0
108.171.187.106,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:39.182360,dc8560926b1726ecc6c152c0
108.171.187.29,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:39.411505,dc8560926b1726ecc6c152c0
108.60.149.204,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:41.105280,dc8560926b1726ecc6c152c0
108.61.16.85,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:41.302813,dc8560926b1726ecc6c152c0
108.61.4.52,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:41.493675,dc8560926b1726ecc6c152c0
108.61.5.242,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:41.683190,dc8560926b1726ecc6c152c0
108.61.5.243,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:41.894658,dc8560926b1726ecc6c152c0
109.123.194.85,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:42.302318,dc8560926b1726ecc6c152c0
109.234.109.20,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:42.839395,dc8560926b1726ecc6c152c0
109.234.109.21,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:43.386100,dc8560926b1726ecc6c152c0
109.234.109.80,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:43.770091,dc8560926b1726ecc6c152c0
109.235.249.19,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:44.390241,dc8560926b1726ecc6c152c0
109.237.138.40,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:44.696407,dc8560926b1726ecc6c152c0
109.68.230.160,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:45.062477,dc8560926b1726ecc6c152c0
109.71.162.230,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:46.535753,dc8560926b1726ecc6c152c0
111.171.193.53,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:48.325675,dc8560926b1726ecc6c152c0
111.223.33.103,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:49.270877,dc8560926b1726ecc6c152c0
112.175.255.32,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:50.160896,dc8560926b1726ecc6c152c0
112.78.196.110,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:50.563711,dc8560926b1726ecc6c152c0
114.112.176.12,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:50.904167,dc8560926b1726ecc6c152c0
114.112.176.21,AVAILABILITY,domains.list,domains.list,2021-08-27 05:41:51.243803,dc8560926b1726ecc6c152c0
